Namespace,Name,HasSample,HasSnipSnop,HasDatasheet,HasDocOverride,IsUIDCorrect,HasFritzing,HasCodeExample,HasWiringExample,HasPurchasing,IsPublished
Meadow.Foundation.Sensors.Buttons,PollingPushButton,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental,AnalogWaterLevel,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Rotary,RotaryEncoder,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Rotary,RotaryEncoderWithButton,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Hid,DigitalJoystick,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Hid,DigitalPushButtonJoystick,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Hid,AnalogJoystick,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.HallEffect,DigitalTachometer,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Temperature,AnalogTemperature,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.Light,AnalogLightSensor,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors,SimulatedHumiditySensor,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Relays,SimulatedRelay,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedLightSensor,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedRangeFinder,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Switches,SimulatedSpstSwitch,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedAccelerometer,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedTemperatureSensor,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulateBarometricPressureSensor,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedMoistureSensor,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedCurrentSensor,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedVoltageSensor,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedDigitalSignalAnalyzer,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedDigitalOutputPort,False,False,False,True,True,False,False,False,False,True
